Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Mujer;Usera;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;9100;Empleados domésticos;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Centro;Entre 36 y 45 años;Española;4424;Teleoperadores;4424;Teleoperadores;3613;Asistentes de dirección y administrativos
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Comunitaria;5500;Cajeros y taquilleros (excepto bancos);4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5710;Trabajadores de los cuidados personales a domicilio
ene-20;Mujer;San Blas;Entre 36 y 45 años;Extracomunitaria;;;;;;
ene-20;Hombre;Carabanchel;Entre 46 y 55 años;Extracomunitaria;7111;Encofradores y operarios de puesta en obra de hormigón;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Fuencarral-el Pardo;Entre 36 y 45 años;Española;5833;Conserjes de edificios;9431;Ordenanzas;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Hombre;Villa De Vallecas;Entre 56 y 65 años;Española;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5833;Conserjes de edificios;;
ene-20;Hombre;Tetuán;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9602;Peones de la construcción de edificios;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Hombre;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;5622;Técnicos de emergencias sanitarias;5611;Auxiliares de enfermería hospitalaria;;
ene-20;Hombre;Otro Municipio;Entre 26 y 35 años;Española;7510;Electricistas de la construcción y afines;8412;Conductores asalariados de automóviles, taxis y furgonetas;7191;Mantenedores de edificios
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Española;9100;Empleados domésticos;9310;Ayudantes de cocina;5722;Cuidadores de niños en domicilios
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;4424;Teleoperadores;4412;Recepcionistas (excepto de hoteles);3613;Asistentes de dirección y administrativos
ene-20;Hombre;Arganzuela;Entre 46 y 55 años;Española;7121;Albañiles;9811;Peones del transporte de mercancías y descargadores;7191;Mantenedores de edificios
ene-20;Hombre;Arganzuela;Entre 46 y 55 años;Española;7221;Fontaneros;;;;
ene-20;Hombre;Arganzuela;Menor de 25 años;Española;9820;Reponedores;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Mujer;Centro;Entre 46 y 55 años;Española;2240;Profesores de enseñanza primaria;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional)
ene-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5721;Cuidadores de niños en guarderías y centros educativos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Fuencarral-el Pardo;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;2652;Profesionales de relaciones públicas;;
ene-20;Mujer;Vicálvaro;Entre 56 y 65 años;Comunitaria;9100;Empleados domésticos;;;;
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;4424;Teleoperadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Hombre;Arganzuela;Entre 36 y 45 años;Española;7250;Mecánicos-instaladores de refrigeración y climatización;8202;Ensambladores de equipos eléctricos y electrónicos;7191;Mantenedores de edificios
ene-20;Hombre;Tetuán;Entre 36 y 45 años;Extracomunitaria;7121;Albañiles;7231;Pintores y empapeladores;;
ene-20;Hombre;Carabanchel;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;9443;Barrenderos y afines;;
ene-20;Mujer;San Blas;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5611;Auxiliares de enfermería hospitalaria;5110;Cocineros asalariados
ene-20;Mujer;Carabanchel;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores
ene-20;Hombre;Centro;Entre 36 y 45 años;Extracomunitaria;7231;Pintores y empapeladores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;7199;Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes
ene-20;Hombre;Centro;Entre 46 y 55 años;Española;3522;Agentes de compras;7533;Instaladores y reparadores en tecnologías de la información y las comunicaciones;;
ene-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;4112;Empleados de control de personal y nóminas;3613;Asistentes de dirección y administrativos;4113;Empleados de oficina de servicios estadísticos, financieros y bancarios
ene-20;Hombre;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;;;;;;
ene-20;Hombre;Villa De Vallecas;Entre 46 y 55 años;Extracomunitaria;8412;Conductores asalariados de automóviles, taxis y furgonetas;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Vicálvaro;Entre 46 y 55 años;Española;7295;Personal de limpieza de fachadas de edificios y chimeneas;7510;Electricistas de la construcción y afines;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-20;Hombre;Puente De Vallecas;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;5992;Bañistas-socorristas;5120;Camareros asalariados
ene-20;Mujer;Moratalaz;Entre 56 y 65 años;Española;9431;Ordenanzas;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4424;Teleoperadores
ene-20;Mujer;Chamberí;Entre 26 y 35 años;Española;2824;Profesionales del trabajo y la educación social;3713;Profesionales de apoyo al trabajo y a la educación social;3622;Profesionales de apoyo de la Administración Pública de servicios sociales
ene-20;Hombre;Arganzuela;Menor de 25 años;Extracomunitaria;9310;Ayudantes de cocina;;;;
ene-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;5611;Auxiliares de enfermería hospitalaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9700;Peones de las industrias manufactureras
ene-20;Hombre;Villaverde;Entre 26 y 35 años;Extracomunitaria;2723;Analistas de redes informáticas;3820;Programadores informáticos;2729;Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes
ene-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;8333;Operadores de carretillas elevadoras;7401;Mecánicos y ajustadores de vehículos de motor;5833;Conserjes de edificios
ene-20;Hombre;Usera;Entre 46 y 55 años;Española;8333;Operadores de carretillas elevadoras;9811;Peones del transporte de mercancías y descargadores;7111;Encofradores y operarios de puesta en obra de hormigón
ene-20;Mujer;Chamberí;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;3510;Agentes y representantes comerciales;4412;Recepcionistas (excepto de hoteles)
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;;
ene-20;Hombre;Retiro;Entre 46 y 55 años;Española;3535;Portavoces y agentes de relaciones públicas;3532;Organizadores de conferencias y eventos;4123;Empleados de logística y transporte de pasajeros y mercancías
ene-20;Hombre;Moncloa-aravaca;Menor de 25 años;Extracomunitaria;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;;
ene-20;Hombre;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;7121;Albañiles;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Otro Municipio;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;4411;Empleados de información al usuario;4424;Teleoperadores
ene-20;Hombre;Vicálvaro;Menor de 25 años;Española;2484;Diseñadores gráficos y multimedia;9811;Peones del transporte de mercancías y descargadores;8170;Operadores de máquinas de lavandería y tintorería
ene-20;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9443;Barrenderos y afines
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;9100;Empleados domésticos;;
ene-20;Hombre;Moratalaz;Entre 46 y 55 años;Española;9443;Barrenderos y afines;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-20;Mujer;Latina;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Carabanchel;Entre 56 y 65 años;Comunitaria;9100;Empleados domésticos;;;;
ene-20;Mujer;Carabanchel;Entre 36 y 45 años;Comunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;9820;Reponedores;5500;Cajeros y taquilleros (excepto bancos);5710;Trabajadores de los cuidados personales a domicilio
ene-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Latina;Entre 26 y 35 años;Extracomunitaria;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Chamartín;Entre 46 y 55 años;Española;3510;Agentes y representantes comerciales;3731;Fotógrafos;;
ene-20;Hombre;Carabanchel;Entre 46 y 55 años;Española;2922;Periodistas;2651;Profesionales de la publicidad y la comercialización;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Hombre;Villaverde;Menor de 25 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;5220;Vendedores en tiendas y almacenes;;
ene-20;Hombre;Centro;Entre 26 y 35 años;Comunitaria;5220;Vendedores en tiendas y almacenes;;;;
ene-20;Mujer;Barajas;Entre 56 y 65 años;Comunitaria;9100;Empleados domésticos;;;;
ene-20;Hombre;Moncloa-aravaca;Entre 26 y 35 años;Española;7191;Mantenedores de edificios;7510;Electricistas de la construcción y afines;7250;Mecánicos-instaladores de refrigeración y climatización
ene-20;Mujer;Villa De Vallecas;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Puente De Vallecas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes;;
ene-20;Mujer;Carabanchel;Menor de 25 años;Española;5120;Camareros asalariados;9229;Otro personal de limpieza;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Puente De Vallecas;Menor de 25 años;Española;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Hombre;Tetuán;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5120;Camareros asalariados
ene-20;Mujer;Latina;Menor de 25 años;Extracomunitaria;4421;Empleados de agencias de viajes;3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4411;Empleados de información al usuario;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Tetuán;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;3532;Organizadores de conferencias y eventos;5492;Promotores de venta
ene-20;Mujer;Hortaleza;Entre 36 y 45 años;Española;3724;Monitores de actividades recreativas y de entretenimiento;3713;Profesionales de apoyo al trabajo y a la educación social;;
ene-20;Mujer;Fuencarral-el Pardo;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes;;
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;4412;Recepcionistas (excepto de hoteles)
ene-20;Hombre;Moncloa-aravaca;Menor de 25 años;Española;5992;Bañistas-socorristas;5833;Conserjes de edificios;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9700;Peones de las industrias manufactureras
ene-20;Hombre;Retiro;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;2599;Profesionales del derecho no clasificados bajo otros epígrafes;3510;Agentes y representantes comerciales
ene-20;Hombre;Puente De Vallecas;Mayor de 65 años;Extracomunitaria;5812;Especialistas en tratamientos de estética, bienestar y afines;;;;
ene-20;Hombre;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio
ene-20;Hombre;Ciudad Lineal;Entre 46 y 55 años;Extracomunitaria;3724;Monitores de actividades recreativas y de entretenimiento;2322;Profesores de enseñanza no reglada de idiomas;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-20;Mujer;Centro;Entre 26 y 35 años;Española;5120;Camareros asalariados;2484;Diseñadores gráficos y multimedia;2484;Diseñadores gráficos y multimedia
ene-20;Mujer;Otro Municipio;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;;;;
ene-20;Mujer;Latina;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5420;Operadores de telemarketing;5622;Técnicos de emergencias sanitarias
ene-20;Mujer;Carabanchel;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;4424;Teleoperadores;9820;Reponedores
ene-20;Hombre;Villaverde;Menor de 25 años;Extracomunitaria;9320;Preparadores de comidas rápidas;9310;Ayudantes de cocina;9310;Ayudantes de cocina
ene-20;Hombre;Ciudad Lineal;Menor de 25 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5833;Conserjes de edificios;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Hombre;Retiro;Entre 46 y 55 años;Española;5120;Camareros asalariados;4424;Teleoperadores;;
ene-20;Hombre;Villa De Vallecas;Menor de 25 años;Española;9320;Preparadores de comidas rápidas;4424;Teleoperadores;9811;Peones del transporte de mercancías y descargadores
ene-20;Hombre;Latina;Entre 46 y 55 años;Española;7622;Trabajadores de procesos de impresión;;;;
